,cpu_hash,cpu_md5,cpu_simple,machine,mem_l1,mem_l2,mem_l3,mem_ll,mmn_s1,mmn_s2,mmn_s3,mmn_s4,mms_s1,mms_s2,mms_s3,mms_s4,mvs_s1,mvs_s2,mvs_s3,mvs_s4
18,1.629108689,2.001787595,0.866219446,tarkil,0.117748544,0.1598626,0.225245376,0.282434198,0.516337562,0.41594243,0.537678993,1.301802507,2.775143858,3.459528354,2.538951054,2.362627833,0.524700644,0.394664517,0.331639357,0.632476953
19,2.028006644,1.807621418,0.999607385,ajax,0.077057206,0.090853574,0.18844976,0.22480766,0.514757561,0.396296943,0.763322886,1.032509582,4.593338066,3.454104835,3.488721522,3.336140691,0.63887168,0.537795328,0.522958438,0.706622923
20,1.451515128,2.126346146,0.827060791,tarkil,0.145522822,0.17413709,0.255706217,0.26911721,0.499588105,0.398019234,0.510193039,1.316646205,2.646684608,3.299599974,2.535697281,2.521075788,0.612069268,0.438503631,0.361532214,0.712330848
21,1.575844694,1.782088573,0.996409543,ajax,0.080220716,0.096606972,0.188723553,0.224095144,0.513190637,0.395105131,0.761365643,1.029690264,4.566011024,3.452098483,3.569535726,3.329444635,0.615446132,0.528314828,0.516370928,0.703426696
22,1.519200426,1.760418128,0.758303477,tarkil,0.142903404,0.171857526,0.25290482,0.246740793,0.448106223,0.358053027,0.454410498,1.228910691,2.413594945,3.003265245,2.326095578,2.220254409,0.536251445,0.406172492,0.336450673,0.696235664
23,1.575712336,1.779469183,0.996450764,ajax,0.0744157,0.091398207,0.187424492,0.223768005,0.513214444,0.394595112,0.761214273,1.029247978,4.575497337,3.44492717,3.481979877,3.333194602,0.619518399,0.528375571,0.513264991,0.70375985
24,1.421031383,1.789743291,0.753896454,tarkil,0.129589361,0.16701704,0.247063501,0.251456975,0.48928169,0.382296151,0.48353128,1.202841388,2.579485425,3.164373455,2.465683322,2.470142285,0.596034271,0.453732203,0.372476165,0.7324235
25,1.658426088,1.779024695,1.000107286,ajax,0.081220954,0.091991495,0.18852892,0.224618347,0.514729659,0.395714291,0.7645407,1.033824764,4.587471804,3.447435698,3.483231386,3.342487074,0.623585135,0.535564527,0.515050508,0.705504905
26,2.954315733,4.181132096,1.592913154,tarkil,0.106129272,0.155826121,0.210151189,0.290962906,0.956242311,0.784809885,0.995370583,2.21422673,5.23488855,5.155401928,4.174730626,3.909489564,0.941910352,0.691075385,0.560756538,0.97831272
27,1.689597898,2.056872468,0.967407068,exmag,0.116303366,0.154165932,0.231002598,0.262344485,0.535051784,0.428915131,0.543795055,1.278378688,2.854563493,3.557277505,2.702777513,2.643941328,0.630105838,0.470293591,0.395215365,0.766038149
28,1.575452293,1.768835027,0.996417179,ajax,0.076087204,0.092816997,0.189517292,0.224108462,0.513079673,0.394889457,0.759646037,1.029601669,4.560621918,3.43838714,3.474607581,3.325039794,0.61747098,0.526948433,0.514413808,0.703536602
29,1.564310518,1.892037214,0.831879361,tarkil,0.127614797,0.148857571,0.22009602,0.24485494,0.490499903,0.379953156,0.488159312,1.248957387,2.619110833,3.246683749,2.53536357,2.514821196,0.600944323,0.451031974,0.374317233,0.730760237
30,1.690546165,2.07479643,0.963717557,exmag,0.129759032,0.169109664,0.24083696,0.261644785,0.535553961,0.429461227,0.548373335,1.254709114,2.854499774,3.568926139,2.696576052,2.647052179,0.657045903,0.47091375,0.386849691,0.767766745
31,1.575619486,1.794152031,0.996715369,ajax,0.080855916,0.095454691,0.187106809,0.224172804,0.513310212,0.394986099,0.760974751,1.029664625,4.594550243,3.450681035,3.499672645,3.33854555,0.653123332,0.528573302,0.562491281,0.703983471
32,1.617227985,1.954804415,0.861799188,tarkil,0.121582189,0.157001322,0.22632299,0.254520142,0.49451472,0.397749794,0.504239115,1.286472979,2.544136657,3.26862454,2.418409399,2.368875128,0.560794477,0.425575692,0.353031521,0.684131795
