,/Whole Program/Application::run/HC run simulation/TOS-output data,/Whole Program/Application::run,/Whole Program/Application::run/HC run simulation/HC water zero time step/SchurComplement::solve,/Whole Program/Application::run/HC run simulation/HC water zero time step/SchurComplement::solve/SchurComplement::solve,/Whole Program,/Whole Program/Application::run/HC run simulation/HC water zero time step/SchurComplement::solve/SchurComplement::solve/PETSC linear solver/PETSC linear iteration,/Whole Program/Application::run/HC run simulation/HC water zero time step/SchurComplement::solve/SchurComplement::solve/PETSC linear solver,/Whole Program/Application::run/HC run simulation,/Whole Program/Application::run/HC run simulation/TOS-one step,/Whole Program/Application::run/HC run simulation/HC water zero time step,machine
10,0.07275245636871998,0.09928740310743818,0.10647505416097232,0.1065179768802343,0.0989288712530337,0.1146702725695845,0.11466848664744801,0.09490645559305896,0.08463862392271164,0.10715439949679838,exmag
11,0.07291189632414583,0.09527906964519954,0.11818702900238788,0.11821043550278056,0.09818116928228748,0.10767245893795954,0.10767347553456968,0.09050387567089034,0.08298834305669013,0.10839224704308902,exmag
12,0.09051415220474729,0.08810510429511492,0.11828697609183932,0.11836078816967396,0.09201193643583408,0.11290975354155565,0.11290819104782261,0.08501643953287348,0.08105956127663236,0.10082709740390641,exmag
13,0.08853774371431149,0.10213871029633625,0.09236081423503063,0.09234335432653311,0.10158775636733361,0.10074713622069223,0.10074696200432239,0.10245731287582119,0.11429043950548091,0.10478977045413805,hildor
14,0.08198274724223797,0.10177214326112,0.09926193242782173,0.0992790686784208,0.10343869892997207,0.09686921967857415,0.09686948100288131,0.1015138978409879,0.11048080799894089,0.10853200293904319,hildor
15,0.07942358631504627,0.09957783210325989,0.09820116006988389,0.09821911238218822,0.10039383247406033,0.10744204209681511,0.10744130462001078,0.09875410767159803,0.10753912528184499,0.10300789698529246,hildor
16,0.08082839667074306,0.10012566003025873,0.09784903331030886,0.09786674171225201,0.1000161903060422,0.10704096268533944,0.10704022505914602,0.09884000601889553,0.1073395771446984,0.10305320706231579,hildor
17,0.08063484726737406,0.09904237584924,0.09795080736044692,0.09796747344499754,0.09963362851886962,0.10732383990545678,0.10732313771119795,0.09896154768931271,0.10755355445949692,0.10360878779360748,hildor
18,0.07777277088607785,0.09807170753676124,0.10295929246957618,0.10299325339228659,0.09709750802574858,0.10857408439120358,0.10857360937399206,0.09667968811472787,0.1038144399204356,0.10346364588919044,hildor
19,0.06640045061330287,0.09593237664596432,0.12610046574350237,0.12618632360404908,0.1056199727053966,0.09464091495030214,0.09463987070325956,0.09196267910403906,0.08867772932518873,0.1098392166049954,hildor
