,cpu_hash,cpu_md5,cpu_simple,machine,mem_l1,mem_l2,mem_l3,mem_ll,mmn_s1,mmn_s2,mmn_s3,mmn_s4,mms_s1,mms_s2,mms_s3,mms_s4,mvs_s1,mvs_s2,mvs_s3,mvs_s4
34,1.434199287,1.865017708,0.889441198,luna,0.092535356,0.119710257,0.181016131,0.256497996,0.48473299,0.372006744,0.506747218,1.0311133,2.694346538,3.193474145,2.500264315,2.427374191,0.580017904,0.445733696,0.36207791,0.713169228
35,1.687346422,2.054989121,0.89883857,exmag,0.111769849,0.158811409,0.228034741,0.241176483,0.534458004,0.428310211,0.544765541,1.251315242,2.857407317,3.559317227,2.715060881,2.640700937,0.62181064,0.471274528,0.394644545,0.763657291
36,1.432710929,1.85462576,0.88810352,luna,0.092704589,0.118597337,0.179173054,0.256236675,0.484240756,0.371193819,0.49103495,1.018047073,2.694652868,3.242162754,2.496458106,2.428045267,0.578112585,0.443624914,0.365903719,0.711329681
37,1.688100506,2.048262681,0.899203474,exmag,0.142841245,0.165913378,0.239229219,0.241218368,0.534583346,0.429526604,0.546192389,1.248823905,2.853453993,3.548410558,2.698499507,2.636690767,0.656822048,0.47184076,0.386086529,0.763460046
38,1.575938061,1.993088612,1.181214041,hildor,0.099710015,0.130012121,0.193982449,0.23985889,0.537001544,0.41462245,0.523118931,1.075564545,3.03017243,3.401467051,2.727248279,2.644049247,0.639422408,0.482238001,0.388953939,0.746695742
39,1.433588035,1.852687723,0.887492367,luna,0.09392914,0.119432385,0.179244636,0.23825591,0.484264224,0.371162253,0.499680874,1.014938599,2.691848097,3.186254012,2.517709326,2.447981691,0.602269429,0.444957488,0.35942083,0.711671586
40,1.687991748,2.04935705,0.903063939,exmag,0.12241682,0.158024487,0.228067604,0.241821189,0.534519257,0.428342226,0.542527999,1.248876958,2.860084145,3.559040548,2.698331058,2.643272702,0.623522202,0.473010453,0.393709391,0.765902834
41,1.569481134,1.930270451,1.181396693,hildor,0.09597095,0.133507413,0.192616521,0.239389308,0.504691851,0.388560543,0.491705459,1.02308427,3.024497688,3.409682793,2.733670605,2.641209832,0.639155344,0.482082767,0.439910925,0.744189353
42,1.432875309,1.853496242,0.887426699,luna,0.092083192,0.12135266,0.179735485,0.237748292,0.484174637,0.371127967,0.504625861,1.016279846,2.688576174,3.184885604,2.509172169,2.428612598,0.578263605,0.442362583,0.361485896,0.712026527
43,1.581610497,1.997585497,1.180125992,hildor,0.09602289,0.130207641,0.192168011,0.233266685,0.539943919,0.415420737,0.526638535,1.074660981,3.041982018,3.417110815,2.75043168,2.65837467,0.633508345,0.476774141,0.447021792,0.749961031
44,1.432769769,1.87196822,0.887628074,luna,0.09268004,0.117150154,0.180098754,0.242562264,0.484327507,0.37158179,0.492367558,1.017055898,2.682648054,3.186398133,2.497550595,2.45250678,0.58623315,0.449607068,0.366350214,0.71361631
45,1.577952713,2.082660094,1.183632063,hildor,0.098986623,0.136108689,0.19259894,0.233143277,0.539772018,0.415484027,0.522819125,1.07303933,3.047799337,3.418468028,2.736917297,2.657648775,0.649004847,0.481729902,0.385167111,0.751673626
46,1.436405956,1.869571001,0.890501158,luna,0.092042035,0.118295596,0.182744696,0.296338341,0.486400624,0.373873684,0.518411313,1.030102998,2.702100962,3.217631562,2.520643238,2.447476334,0.583043366,0.44708811,0.363145157,0.71495211
47,1.582927059,1.992302967,1.179966442,hildor,0.099508248,0.128043082,0.193560428,0.232457147,0.539761978,0.415402678,0.527745831,1.074760206,3.030721822,3.413612656,2.743717876,2.658556817,0.63853321,0.479135216,0.396040911,0.747633563
48,1.581224889,2.049651997,1.186850871,hildor,0.098102426,0.130132995,0.191568661,0.232389686,0.539750953,0.41524587,0.523813971,1.073491657,3.053223849,3.414735504,2.740851207,2.657436297,0.641493777,0.496776304,0.39279699,0.752968091
49,1.580619491,1.993151741,1.179557339,hildor,0.101173473,0.129104064,0.193161197,0.232491706,0.539650357,0.415394464,0.527310449,1.072272583,3.019524638,3.412649904,2.737941241,2.662007994,0.636545655,0.479070514,0.391518736,0.747324349
50,1.581343272,1.998887744,1.187570548,hildor,0.098826851,0.128731035,0.191999013,0.233073501,0.539450703,0.41535772,0.526262921,1.075707461,3.019116336,3.417548579,2.737731665,2.657758307,0.65507267,0.479450786,0.396096707,0.748501073
51,2.856829824,4.06371272,1.590280822,mudrc,0.070804734,0.116931469,1.620376108,1.470204491,1.088348398,0.885402972,1.102218405,3.0437762,7.990809679,6.182284269,5.594796171,5.275581079,1.135754973,1.15049397,1.147070996,1.260116113
52,2.852752501,4.199124862,1.582769515,mudrc,0.070141396,0.116759506,1.605485176,1.460220247,1.081095908,0.887888697,1.107114252,3.096984096,8.012662594,6.967641611,6.881820281,5.319605428,1.145313325,1.111454219,1.147512211,1.262571747
53,2.849213566,4.247983263,1.580614329,mudrc,0.070696497,0.117121426,1.613994947,1.464284803,1.102625656,0.871170049,1.103320959,2.395258449,7.995002156,6.195032413,5.603462784,5.315001055,1.140279908,1.120695734,1.147229708,1.260958794
54,2.858899255,4.247897569,1.583849691,mudrc,0.069495226,0.113884164,1.639272013,1.464112267,1.098138434,0.868506609,1.104771591,3.325320042,8.011056112,6.189664499,5.612013346,5.286098961,1.128740317,1.125157904,1.171525397,1.262192948
55,2.866440515,4.23311269,1.58810635,mudrc,0.070899331,0.113456983,1.603750334,1.466521161,1.099041112,0.886952132,1.106720068,2.496510497,8.245189723,6.196015898,5.614224348,5.299793868,1.295689864,1.154310055,1.139889205,1.27532922
56,2.850020538,4.222481787,1.580580417,mudrc,0.069092083,0.117105866,1.62187082,1.469677503,1.089392174,0.870645443,1.103753853,2.763327675,7.983176939,6.183119061,5.58305433,5.281966186,1.144758482,1.135575334,1.148747729,1.262169326
57,1.436309771,1.895230053,0.888565933,luna,0.092696649,0.122436359,0.179024541,0.239147608,0.48630913,0.374090748,0.496437225,1.028250869,2.698843276,3.211166995,2.518873957,2.433375179,0.588660889,0.443986337,0.361535073,0.712625939
58,1.437209314,1.870298436,0.889833404,luna,0.092497399,0.120673376,0.186955466,0.254127418,0.484616124,0.373934708,0.495604574,1.029435601,2.707308455,3.189807469,2.498854652,2.435902463,0.595367653,0.445292856,0.362318761,0.712949382
59,1.737389256,1.812626584,0.996593841,ajax,0.080515525,0.091856019,0.187739187,0.224501395,0.513051047,0.394971744,0.761156266,1.030388028,4.56696823,3.447350108,3.481930883,3.333199207,0.629292182,0.535355904,0.516567037,0.703384868
60,1.437288792,1.872937601,0.889675868,luna,0.09055761,0.122987805,0.178434816,0.260416042,0.485940569,0.373709578,0.495528817,1.029319127,2.700795989,3.212159786,2.512365989,2.432437814,0.591008622,0.446202267,0.362208796,0.713068692
61,2.849898765,4.067649623,1.580686091,mudrc,0.065473342,0.116922183,1.638230069,1.464631705,1.102132664,0.884697494,1.106755725,3.368414884,7.978158715,6.195631009,5.600692221,5.290428869,1.13428768,1.166522526,1.149500457,1.255190833
62,1.580832479,1.795901701,1.000131529,ajax,0.079891765,0.091946563,0.187637098,0.225267525,0.515208166,0.396280218,0.765054788,1.033662073,4.59692987,3.460720941,3.491468609,3.36535259,0.622042559,0.597286794,0.525577436,0.717776267
63,1.437100531,1.875722812,0.889824955,luna,0.092689949,0.118583609,0.183832437,0.257512791,0.486267395,0.373856068,0.50120272,1.027684753,2.699167113,3.198869787,2.513091468,2.445418091,0.593719324,0.447860772,0.364557186,0.716468615
64,1.437407822,2.456338105,0.889864744,luna,0.092812232,0.125805188,0.183352501,0.275653806,0.781241963,0.619752463,0.530486316,1.013528116,2.697068194,3.212068031,2.514294338,2.441797165,0.592481474,0.445713301,0.364876314,0.713444052
65,1.599181745,1.79131453,1.002044412,ajax,0.079664243,0.094791969,0.188938508,0.224128971,0.515436215,0.397182734,0.768454177,1.046889282,4.608485782,3.447485186,3.481898628,3.3350089,0.609604745,0.533533062,0.511643278,0.702895711
66,2.851100003,4.068610738,1.581284743,mudrc,0.071130075,0.114882273,1.65506893,1.470923517,1.091022386,0.884828245,1.102592485,2.399985363,7.949124762,6.195076562,5.597395147,5.275743001,1.104109628,1.167362339,1.183451022,1.261425327
67,1.437203143,1.882860317,0.888207972,luna,0.093382061,0.117663278,0.179881676,0.229651297,0.486198463,0.374139296,0.495530855,1.029395393,2.697396696,3.201701416,2.513377628,2.439591734,0.578537538,0.446323259,0.359132468,0.713556838
68,1.582708983,1.870015633,0.999168698,ajax,0.08057893,0.093150784,0.189661953,0.225354387,0.514549215,0.396277683,0.763519542,1.03248098,4.58224513,3.456555634,3.497464783,3.343081884,0.612053719,0.531957051,0.553574664,0.70673378
69,1.437436892,1.874966403,0.889832627,luna,0.092318511,0.122527053,0.181537012,0.266989854,0.48592686,0.373895557,0.495370058,1.024498232,2.698483388,3.201480395,2.529140944,2.45758817,0.583106058,0.445281867,0.365197933,0.713919741
70,1.743403399,1.80266485,0.998957106,ajax,0.073704908,0.091650034,0.189768126,0.225223706,0.514217208,0.397152103,0.764331744,1.032573923,4.577855178,3.45436893,3.49182283,3.343529752,0.63920923,0.530195667,0.517717734,0.705400288
71,1.437471174,1.879498904,0.889638695,luna,0.092360458,0.125054371,0.180198063,0.267705045,0.485966175,0.374294935,0.493849106,1.02173484,2.690749678,3.209663928,2.513291249,2.440374339,0.580906223,0.448214849,0.361217678,0.71460892
72,1.58096438,1.784750152,1.000760985,ajax,0.079883123,0.101389503,0.188180512,0.224935143,0.515098049,0.396498911,0.763738357,1.032858079,4.591334567,3.456161426,3.493551896,3.343631943,0.620864091,0.533683604,0.514423552,0.705613824
73,1.582095503,1.795107334,0.999859282,ajax,0.079984697,0.092334019,0.188183989,0.224211575,0.515984706,0.395859125,0.765540998,1.032667077,4.578130775,3.45676398,3.497209645,3.3439699,0.611551473,0.534207032,0.54641216,0.70692862
74,2.026809121,1.808527564,1.000213844,ajax,0.076583664,0.092325071,0.189126463,0.225440492,0.51546875,0.396117138,0.76322839,1.034190971,4.594686689,3.456891712,3.487328915,3.34401113,0.639493256,0.526641808,0.514800762,0.705404024
75,1.700200283,2.086266129,0.901269443,exmag,0.14477152,0.153443958,0.232149608,0.277359018,0.538009381,0.439409666,0.54799194,1.296390563,2.900266061,3.58555102,2.720211514,2.677414287,0.649314392,0.475010025,0.49979524,1.147843574
76,1.697836113,2.111276042,0.902800528,exmag,0.111144262,0.155902646,0.232616892,0.27160973,0.538633095,0.434471634,0.551524313,1.296232561,2.894576048,3.589179729,2.734328507,2.661813089,0.624540972,0.474780657,0.394808405,0.774378283
77,1.698809768,2.12266331,0.902630801,exmag,0.11520142,0.209484417,0.234777504,0.279303495,0.539528873,0.434434974,0.551555765,1.30605613,2.921936302,3.725422773,2.727819018,2.674006038,0.63017817,0.476380523,0.38976717,0.774306024
78,1.700848492,2.11872334,0.906148022,exmag,0.112559717,0.153637427,0.237188249,0.341530533,0.53835286,0.435396943,0.553020233,1.290555125,3.152487959,3.779298587,2.926580922,2.887425512,0.62996453,0.476889515,0.391890442,0.772909521
79,1.696341001,2.106196835,0.901723942,exmag,0.112594137,0.152428568,0.235635603,0.280833528,0.538261869,0.433201531,0.551178637,1.320302601,2.941818026,3.639699146,2.747905678,2.708276798,0.633438269,0.480448469,0.392029412,0.774984134
80,1.702809869,2.153749217,0.902733637,exmag,0.11203859,0.155319753,0.241550335,0.370988286,0.540465888,0.441212886,0.552140728,1.333836662,2.932914063,3.640705217,2.746344881,2.706061753,0.63165821,0.481484069,0.391764052,0.7773828
81,1.640680598,2.046755574,1.19391369,hildor,0.101032972,0.131707338,0.200020653,0.330536123,0.543970567,0.421879051,0.531768255,1.108616293,3.073730579,3.471892571,2.776694844,2.707221178,0.663370642,0.490779054,0.393219643,0.756712012
82,1.595314247,2.048766302,1.193554496,hildor,0.101768009,0.129393868,0.200882133,0.332557888,0.544090587,0.422637174,0.539632273,1.114317069,3.090686776,3.537114929,2.776837146,2.704365222,0.651841675,0.489567744,0.405688936,0.760668442
83,1.585319312,2.023520157,1.188310772,hildor,0.097937273,0.131896544,0.209852419,0.396417881,0.543630511,0.425097841,0.539249077,1.112731209,3.108192318,3.518223415,2.819537846,2.729674477,0.658364971,0.497855312,0.395243137,0.760445993
84,1.598674585,2.066928794,1.193416334,hildor,0.098914008,0.133744202,0.210241086,0.389924878,0.54154369,0.421077786,0.535827167,1.112860068,3.125889369,3.515987241,2.950623899,2.707422816,0.643366261,0.489353324,0.399969435,0.761909717
85,1.683474535,2.049780463,1.213519982,hildor,0.098521864,0.134565263,0.20971787,0.393747823,0.540643178,0.420256945,0.531120421,1.113773885,3.116140565,3.613237278,2.781207228,2.717791383,0.651318952,0.492297695,0.397549753,0.758739485
86,2.611798338,3.7799219,1.217865016,hildor,0.102412548,0.130026739,0.2008823,0.340593754,0.987106824,0.777064272,1.099987945,2.128569036,5.068634272,5.022111394,4.33128411,4.183797448,1.106091782,0.855268738,0.671851734,1.061376086
